Business Date,Transaction Date,Employee ID,Salary
01-03-2022,28-03-2022,EMP0001,50000
01-04-2022,28-04-2022,EMP0001,50000
01-05-2022,28-05-2022,EMP0001,50000
01-06-2022,28-06-2022,EMP0001,50000
01-01-2022,28-01-2022,EMP0002,65000
01-02-2022,28-02-2022,EMP0002,65000
01-03-2022,28-03-2022,EMP0002,65000
01-04-2022,28-04-2022,EMP0002,65000
01-05-2022,28-05-2022,EMP0002,65000
01-06-2022,28-06-2022,EMP0002,65000
01-01-2022,28-01-2022,EMP0003,80000
01-02-2022,28-02-2022,EMP0003,80000
01-03-2022,28-03-2022,EMP0003,80000
01-04-2022,28-04-2022,EMP0003,80000
01-05-2022,28-05-2022,EMP0003,80000
01-06-2022,28-06-2022,EMP0003,80000
01-01-2022,28-01-2022,EMP0004,45000
01-02-2022,28-02-2022,EMP0004,45000
01-03-2022,28-03-2022,EMP0004,45000
01-04-2022,28-04-2022,EMP0004,45000
01-05-2022,28-05-2022,EMP0004,45000
01-06-2022,28-06-2022,EMP0004,45000
01-01-2022,28-01-2022,EMP0005,85000
01-02-2022,28-02-2022,EMP0005,85000
01-03-2022,28-03-2022,EMP0005,85000
01-04-2022,28-04-2022,EMP0005,85000
01-05-2022,28-05-2022,EMP0005,85000
01-06-2022,28-06-2022,EMP0005,85000
01-01-2022,28-01-2022,EMP0006,100000
01-02-2022,28-02-2022,EMP0006,100000
01-03-2022,28-03-2022,EMP0006,100000
01-04-2022,28-04-2022,EMP0006,100000
01-05-2022,28-05-2022,EMP0006,100000
01-06-2022,28-06-2022,EMP0006,100000
01-01-2022,28-01-2022,EMP0007,110000
01-02-2022,28-02-2022,EMP0007,110000
01-03-2022,28-03-2022,EMP0007,110000
01-04-2022,28-04-2022,EMP0007,110000
01-05-2022,28-05-2022,EMP0007,110000
01-06-2022,28-06-2022,EMP0007,110000
01-01-2022,28-01-2022,EMP0008,120000
01-02-2022,28-02-2022,EMP0008,120000
01-03-2022,28-03-2022,EMP0008,120000
01-04-2022,28-04-2022,EMP0008,120000
01-05-2022,28-05-2022,EMP0008,120000
01-06-2022,28-06-2022,EMP0008,120000
01-05-2022,28-05-2022,EMP0009,120000
01-06-2022,28-06-2022,EMP0009,120000
01-01-2022,28-01-2022,EMP0010,150000
01-02-2022,28-02-2022,EMP0010,150000
01-03-2022,28-03-2022,EMP0010,150000
01-04-2022,28-04-2022,EMP0010,150000
01-05-2022,28-05-2022,EMP0010,150000
01-06-2022,28-06-2022,EMP0010,150000
01-04-2022,28-04-2022,EMP0011,80000
01-05-2022,28-05-2022,EMP0011,80000
01-06-2022,28-06-2022,EMP0011,80000
